x,y,z,bp_rp,mag
265.12450471656916,-882.759184101046,4.443156491650276,1.5221281,15.244129
390.8730250153217,-3331.7626450211146,-3486.5817082508343,1.2285576,15.840754
-189.8836832786951,-2275.2477963810475,-1680.71955218448,2.438201,14.802705
340.703660501849,-1363.885084986507,467.72879045989237,1.3052492,16.073896
540.7964088487735,-906.9854927411599,396.9361124700096,0.9865866,14.375696
-134.57526704221758,19.36891125405562,-29.114983109495512,1.8194504,13.987773
1093.4024291457656,-904.5452819216755,3147.9879307311826,1.2807808,16.704706
-589.8072949651264,-283.74273421929774,-1728.3438542696886,1.2547417,17.73207
246.90877168160898,-546.9371717143844,656.3769227192888,1.9208508,18.168076
-121.0005655421943,154.80180423413483,-571.1271476994322,2.5804977,19.112696
-485.91559251071203,525.3225960967131,-548.3336831274269,2.159958,18.769066
834.2173308299149,-2288.7889333243015,1201.0716064144708,1.2684422,17.236616
-410.90355999712125,-138.96971455072446,-599.2490482539184,0.8955555,13.768363
198.44197276250122,-817.2080922089843,-165.7234743011641,1.2370663,16.306816
536.0450833004787,-1051.7090693643213,-206.61153557784831,1.2201481,15.512272
-633.7118412752554,-1203.6546260152172,-859.3512224087698,1.1088486,15.7875185
86.13572070883585,-1399.8009088990502,-719.7935082688408,1.2019882,16.076681
-1281.745367037579,1012.046036924203,-612.4021602978506,0.9316826,16.268227
375.11951090181,440.35428007938674,-395.757451370619,2.35182,19.380299
-251.32873929829336,346.0529577278861,567.7223756080077,1.5568981,16.538342
857.3783989940512,-1275.295518603849,-264.7727073738797,1.2852955,17.542084
177.76694180384058,-61.00736269511769,51.29783945013377,2.6571903,18.12401
454.96152670853905,-1139.7180988401547,-902.3150350468047,1.2715931,15.947208
453.88686236218723,741.1937657251615,841.0219917346549,2.167179,17.88936
1470.602351892413,459.2609858932806,1847.9509961710864,0.8308954,15.194806
-1109.2845798613278,110.80634905808719,-2086.01539528051,1.198019,17.065819
-309.8661136160526,2343.4976022321434,262.3951148940728,1.321516,15.949581
-739.1898001315582,577.2598746754828,-666.4496718242378,1.1389656,15.935824
-129.61439646702428,1560.358336194904,77.26120879791816,1.2608871,16.378704
238.69706578770095,1357.5319330614889,-1630.2106187463573,1.1836758,13.993294
-982.9773234414513,-560.3667634342162,-1289.9766459994037,1.1783218,16.701233
143.89091272356413,1090.1642239398432,339.549972164836,1.4348755,17.29317
-271.4939694322571,1283.4848444264267,-497.2345968938446,0.8814907,15.101629
-1045.7805879580033,-1006.738308419518,-1121.2277390442816,0.89295006,16.693735
1006.3370046375002,-4738.190485252731,-964.4423325391407,2.1147165,14.097238
2123.3203808974963,-1403.1700811034577,1179.8465571591541,0.79482174,16.241228
89.4955580977132,134.56781582356416,-292.57355489339506,2.5832272,18.70932
1037.118278416443,-522.033546394639,1536.8037182616881,1.1279259,16.619408
207.25019006397005,629.8502372052255,-252.7228805808065,2.659834,19.460592
1707.182228916394,-3665.7932275232624,1086.6193193431604,2.2013578,15.976849
-1461.3613413425578,-518.9177342808331,-997.7685158766749,0.90505314,16.284231
-458.5401762714599,-1552.0003733236872,-1604.589712020159,1.8073292,17.547262
-97.79380216377943,-468.64987407076296,-350.046696290644,1.9953632,17.68602
-1526.347730917964,1350.594568625153,-1283.209274359354,0.8644428,16.816282
-388.19057046693234,880.197607396944,-145.9997693355899,1.8184834,18.007895
-18.123136180836052,-265.0275785982296,-120.83716443088585,2.1127892,19.346088
-179.32611958412872,359.8564589947617,-258.94372208809455,2.5192928,19.62971
232.24408567271374,1068.7322651041677,-393.75219576635516,0.95983315,15.750716
2269.772531524436,818.3617313434372,1619.2477581093622,0.975091,14.778735
594.1505766788705,86.71456407863258,1287.3795694197056,1.8472843,14.539685
14.107433344685703,-14.245094882733971,1015.5490643724924,1.7352238,17.685946
427.72372795694474,912.2842284044467,-607.5441611123016,1.1595049,11.515061
-225.64130134279475,-95.27133315789258,-256.1345719654741,0.7908077,11.581702
386.1786365221848,-623.798412083971,1799.5044440485747,1.3183422,16.673267
-2471.3230534750187,-2178.1164163340377,-4347.4472047115705,2.4934416,13.821015
928.0060883300179,-1752.7147528071644,181.7394864759275,1.0632324,17.02695
-372.25280918491796,426.8374350020141,-407.55412420393003,1.8341808,17.294333
790.4629860921473,-3041.908834673788,989.5091683562822,1.3083763,16.182055
1087.2717453181533,-2215.015217247683,1657.8207109985822,0.99368286,17.179102
846.0092573692092,-2421.042755035353,2014.2476589615303,1.3131886,16.058659
388.5720939877927,4976.613041124545,3692.1789048080927,3.4730806,14.41989
678.4440179230505,-1537.959126492569,207.8942964370159,1.1474838,16.95722
-907.7558826909142,262.18431692982006,-438.98825462692355,0.864028,14.07103
32.292207961968934,1034.7581529072236,932.7886347357013,1.0757608,13.168218
-288.6318749819659,-623.9827492752484,444.92226048870594,1.1538811,14.844531
161.91273987917592,-947.7763546654469,-311.7960102802927,1.4660816,17.51593
2533.5003326017722,-2296.5314980137005,2621.750308598411,1.1106987,16.672869
807.2108409679792,-1518.4326623421282,-847.0279869831069,0.88230324,16.360447
-54.805587649682096,633.1164052175199,-564.7120312429422,0.803998,14.12552
378.6561093922831,288.9850644992377,-13.697610562213244,1.3688402,14.687146
662.280754092883,-522.638578701456,252.47556291610073,2.3750534,18.276773
-800.7831203090403,1297.0086205337561,-1055.966547895855,1.5497303,16.825266
281.53719637445784,-802.6928616127556,0.6785629368716427,1.7458324,18.403011
256.06402684783427,-1594.3931186958102,-1187.7001721834486,1.0806828,17.148981
852.8854549297259,-949.7951918955966,950.5701163616285,1.3678684,16.893785
261.6902777059172,-188.3839194713152,-296.47788911329695,2.5688286,19.021566
481.2086486725611,-963.3731995195544,595.2268516832282,0.93660927,14.680075
999.6687936915868,-628.6624863896802,1593.889289201276,1.1722231,16.094013
940.2416662132885,-2348.480780843888,1479.8310471499299,0.8894663,16.348291
-434.5857699501739,-550.6986685926108,-512.746483179546,1.6148176,16.621416
-284.69775197472103,-1853.6770393177253,139.29795734773595,0.9390497,15.320245
-668.8937207402145,631.9983833696124,-825.3643558315133,1.4021587,16.695242
-53.92518291847578,103.86037643620996,-409.68903176893787,2.6854343,17.950108
-799.2749390759002,-2050.303698002774,-2659.63287675713,2.621194,15.319607
-134.709200004956,-1057.4510648415487,-869.3504619420171,1.4973555,16.591534
479.1512086199277,-929.7202042680609,-485.2801384974361,1.140789,16.65072
-1029.591359063859,-1988.6442863733728,-435.8693307707684,1.1411018,16.963037
214.78020716551822,-98.6442050428013,-299.60642315021255,2.7281399,17.788868
1422.8564927941281,-2063.5226790331776,846.983985692201,0.94505215,16.45009
-491.4896777811635,-1477.087231724737,-2995.427837145917,1.6961355,12.725183
-1177.6910811610544,-1086.028301543822,-3428.6347235677804,2.1836405,15.869584
-853.7926442963087,332.5191134629363,-1454.1016586613096,1.2191296,17.482384
-987.4637795876167,3278.075156039807,-1102.2596860170495,0.96033764,15.271859
618.0746459068481,-1310.4847910467395,282.91473567007756,1.6646404,17.348852
278.23546306918075,210.44564349156627,-206.07258987515203,2.7694473,19.305634
-160.60864916654393,-568.1349849309453,-401.09792185095296,2.039713,18.925165
858.3817269184995,-910.5924696296541,1324.1005689686751,1.1608753,16.112734
1446.6051524790278,-1003.1405252592918,988.1967999257135,0.99825764,16.417263
1047.8549199478398,-345.9943179615367,1183.998572398807,1.131813,15.804216
71.25744783340815,-1267.3547808887956,-701.2142579577105,1.1814594,17.13586
-295.97348410728733,-191.58076714129703,-702.0596244360069,2.3511524,19.042519
-47.73729995152367,-184.07778950949805,-130.4271703074718,1.9486446,19.725239
760.4728542007265,195.70140262879266,-19.73673731763604,1.9468613,18.817698
679.2992667776834,-175.8757716372991,1720.8760418475215,1.8250065,17.878435
-84.42532237741167,216.9800820923176,284.1033227810577,2.2773933,17.078428
0.9281093266644038,-35.208916766453385,-910.0303837384045,2.0158443,17.677965
-387.2923923616168,-119.73888673538372,-919.9617156665192,1.450943,16.641468
-2001.917820347873,-2236.506504729555,-430.9007920155626,0.9456091,16.257986
-517.6037488791904,-356.5919476920491,-667.7167337256107,1.0257101,15.22993
-1049.9747500843043,268.1594833923203,-1004.6711887465954,1.0561352,16.410255
43.95582262279109,211.49775003899256,-37.868693511697685,2.7640495,17.704222
405.50506718489777,359.434588110882,117.08517532958795,1.1463699,14.346777
-1773.0687693937111,-774.8992178631505,-4085.8269650397533,1.9553928,15.077844
1025.6244646404587,-1943.340279104642,1578.6544645498682,1.5333967,14.052842
36.271388660051855,-1605.2513939277133,-1457.5811130006236,0.92306805,15.838857
175.57132569300654,-264.05332782618956,4.045417095529979,0.091911316,20.213161
-0.6374234727888717,-849.7208665941284,25.10445995777902,1.2448282,15.703116
42.9856116582007,-754.7468349700106,795.11260377778,0.94815445,15.408286
-510.02052819863127,1744.1472155450601,-1022.4235168309455,0.5784788,14.609543
499.0081338232762,-1071.746763552694,167.80801326677417,1.2175732,17.593065
-1299.8223182929235,-1487.788336308849,-2666.2922111113553,2.2287674,14.5437765
-226.42833215209603,-174.55244958902074,-551.6743924012832,1.8722448,16.828598
84.24489784106773,631.4717033925023,54.49292166066281,0.85044956,13.246844
1383.9566127568044,-498.5907767014426,503.0565666249478,1.2008476,17.616287
-216.4398506556541,448.87594328190437,-209.5062204293029,2.4980068,18.71978
418.14597642619736,927.3122707546244,508.15048364945153,1.7255287,16.5765
753.3628370911129,581.3531837900383,1469.7811935549057,1.304081,16.33106
1436.9284289930745,-619.6205654584385,2666.776852514004,2.677431,15.578932
-59.7612057239279,-221.52489290243523,-93.28130042524059,1.3708496,18.363997
89.87049121696938,345.1411455738688,-749.5274606645884,2.280756,18.508963
-864.9348338252225,171.6127314483738,-1774.0416673294849,1.5084801,17.363056
-94.96517036644393,133.98300283323513,-290.61313551780233,1.6114407,18.61567
-869.2505384323752,-290.2103178586784,-1926.0330312808187,1.1628361,17.220926
-72.80263701067732,-176.22407291427643,-237.74972490022543,2.7655163,18.731436
605.3822674839827,-1602.4320397925476,-132.03589198244782,1.4935608,17.026583
16.30632417466906,1012.4875307231587,733.0716523070669,1.3879452,16.736671
-820.7623005548086,-802.4996597961807,-1495.0533293719086,1.4059744,15.781138
423.1348761081308,212.11898146163549,780.8964702515125,1.414979,15.785323
-146.68695251181487,145.9970255312405,-551.6105303850283,2.628788,19.046774
-234.67981075393018,2.8191263810113343,-454.13993895137736,2.7381458,17.77733
1549.3694348549493,-469.2270938270483,-745.2738662633745,0.8144455,15.566041
410.7622262142463,734.4594624330497,353.8999167517967,1.1542234,15.086293
-444.051217794897,-131.464228874001,-1930.0317054544016,1.2383194,16.8138
-622.0977569331279,-571.8493826554812,34.56761481272116,1.3223209,17.262344
-1737.0342173598804,870.3197450156357,-1405.3390444207525,1.1664963,16.745405
-359.9955102199959,-345.19863651450686,66.30364966026889,2.383276,18.092554
-1014.8036915365672,713.1615654608638,-2593.2690522858106,1.3805265,14.549015
-831.8462811498434,-4915.342194036374,-2074.753206672145,2.3192368,15.512439
269.5351464155526,634.9501026902036,895.6509770556036,1.6505537,16.823385
-58.04658807410131,-1509.5336009245905,-675.829621537063,2.1588278,14.184346
-1858.1363578175567,1937.368169915343,-1579.6917911838063,1.018652,17.179567
-725.7302049712653,424.4484319630548,-1838.8099734064208,1.1308975,17.550587
-455.2308386381686,289.38908478457495,1339.65130284856,1.4422932,17.585571
-93.58885832191248,-547.7579673034699,-864.969055473845,0.76673126,13.003862
-96.25045151787064,-1096.520889240305,-906.1720887986517,1.3163462,15.181649
-672.3877761534362,-643.971387727031,-2121.1591070447016,1.2344608,16.835846
186.33822646571895,62.22689056328995,9.879013195537896,0.7048607,10.119948
396.56324066733174,-565.955788086917,252.4468529557491,1.2008324,15.751503
-100.76207841657131,377.7615593443589,-144.05265725628945,3.0355892,18.324844
1362.4322287619916,-3428.2161822061607,335.352530576258,1.0576954,16.017618
-321.6890874934719,271.67600842916477,29.939270944515567,2.4708366,19.40145
-26.119671567591794,-1745.3460687021388,-1955.8090046643194,0.7164812,16.004606
-209.64225750551543,807.2391859855596,-648.8263255504776,1.0764437,15.471434
675.5331474194091,-341.28599872449803,978.1548656981422,1.7626991,18.52675
339.50138887764757,595.3893779768736,1112.4478451686307,1.6274567,17.167297
2074.8234978258943,928.0234130170574,4452.093290436298,2.5622387,15.133672
-531.817245282982,893.1005321482617,-1480.998294483951,1.0630779,16.94974
-187.04923713484567,47.472239430795895,323.248769096521,2.1822052,20.242645
520.0898440558539,-1809.1819677125377,572.401411529293,1.3532705,16.132524
1744.9226450327974,-1609.0282527426198,2746.4712614119244,2.0260115,16.585865
-491.0475965457836,552.1563356613393,-468.5233090523008,1.9235554,18.00304
923.527112877107,179.00173981228266,42.50218885060547,2.0960693,18.189104
-172.55559749943808,-810.8196571156889,64.633765676234,1.2795172,10.800972
251.49392019547247,1225.9235202274692,1581.2207778972365,1.4860039,14.609903
3361.034565209084,-1218.979044756724,4985.001409306774,0.9803457,15.749889
447.727747617551,-662.3314047958189,933.2917021389425,1.7767735,18.02661
-16.700525632001167,-772.9243934359728,47.00158003133524,1.496625,16.499813
2062.4925209182497,-1839.9658479034715,2400.514951204736,1.1291752,16.740065
-9.129050498293484,-213.95003833090954,-304.1671240590752,3.1198387,19.636152
-1105.3042504218113,980.7806919352406,-1921.3344379282757,1.3070507,17.467638
839.8550412283904,-773.3897616564396,2354.16905378192,1.7490311,17.262592
-540.5975726531032,31.821227054858248,-365.3173719179205,1.247199,14.912967
194.9159733834307,65.72585011462262,-23.370546011915405,3.0162487,19.569946
1155.4719946869889,-788.1260427976844,1816.9290331822679,1.2045336,16.18285
-189.80289735830155,1828.8334577491057,241.03025735006912,1.0255833,14.779902
-125.330531675687,383.6862208924885,-389.1137503533655,2.4547367,17.925556
64.69948795559449,-386.7285430543097,195.14303058653678,1.1096058,14.362208
303.7672912491606,-2057.3281946556162,-789.6766194675132,1.0824566,15.750816
-2203.9278113664905,472.04118743492415,-5087.126858992635,1.9174519,15.32936
-111.83879549548872,-104.0042168037146,-988.8627120473994,1.7720966,17.243347
-264.3870945608977,834.4064998160204,1153.7979500222812,0.8459034,14.982775
-233.32169453394772,671.983164315614,-348.9649424686287,1.572586,16.796791
-1619.3801476632661,245.90618481564675,-2032.5633711098246,1.2267275,15.939878
602.846336775477,-866.0308044473664,285.1907292211083,0.94786453,14.707593
-200.83742748896628,-101.53095141170402,-352.29665616192915,2.0925484,17.087046
-643.3335957469168,2634.9892080634995,-707.3398598565699,1.6685982,17.04721
289.82853931285894,-307.06731496724905,-153.13794672760014,2.8315105,18.394075
438.78468528165405,-435.11607986797065,-183.52603860002117,2.693798,19.106976
17.527929419462918,492.11709910324697,62.536963293472134,2.7020054,18.355429
538.2448841275349,-1833.327918812833,-878.33726893599,1.1123781,15.92655
-106.7713416692539,500.54230696347037,147.82956919151286,1.3857079,15.284094
-1335.013978134893,-968.3859327633164,-2427.9422485425102,2.2528515,16.928665
-1298.3917066116078,2661.5172202052568,-1060.455323146503,0.88784313,16.214088
475.25133684746766,-1792.9137796480788,-23.548392176847546,1.70613,14.22702
-1060.539505373544,-1499.135457723741,-262.71407933745996,1.1795187,16.761862
-389.7872650537831,1791.4829787761653,-1065.385343108401,1.2010231,17.900486
63.18455086231184,262.57267644637926,-811.4962798669253,2.3796387,19.320328
-1294.1285338683704,-273.2466016368919,-2351.628592044372,1.4570827,15.9474535
-797.239765532174,-471.1419485260835,-1527.09377525905,1.6545982,15.222991
-163.59876567874747,467.6913656713884,485.48569508668623,1.9671841,17.418385
246.46087892025693,-1172.5076824669234,618.920533980594,0.9017973,15.185432
627.3267954326326,-2336.183758784713,-311.59635375933476,1.2207689,16.358124
742.8166197849479,1791.2333646673726,604.5585432093012,1.2077093,15.629626
751.8041617986916,727.6357657068579,1814.751215223265,1.7472687,14.835126
101.42866389487199,-444.05509944054944,-674.7786436048157,0.84290314,13.714374
2794.1008039036724,-333.33700687995173,-1081.1843148809098,0.9600868,15.778241
-1397.5501620701023,-392.1234928572288,-2131.923859054198,1.2429066,16.356255
-392.2117707939888,-1509.3260287948578,-916.5732767761959,1.494606,17.479805
1021.3640682826173,-1775.080465860717,1957.0340975527663,1.2556973,17.000362
58.810448746123775,-782.1078623463261,32.233138536211406,2.332571,17.977663
262.95846099744233,-536.6127870326626,444.32237928136243,0.79486275,13.982074
1182.1357378672521,-1641.7427939993995,839.4347457177237,1.3414087,16.16591
-152.31922083562358,-158.74986650561587,131.8751614959075,2.0383892,20.44069
1248.3663036243768,-861.5972646623733,1743.592791357597,1.5208197,16.694841
237.3418749287349,-497.9824062626789,-430.72514808148367,2.5289822,18.325193
-22.091970595340705,-497.17086874032765,-391.05053174502626,1.7543411,18.653181
1459.4832436937709,-379.7951146711957,339.0195547162777,1.4481525,17.018099
-70.66620210589402,516.5557114476371,438.55867280623187,1.7018118,16.833382
-537.0486741770718,83.27729055064233,-1256.893432703131,1.2484188,14.610605
286.0907160257659,71.80925206470877,521.8457558624641,1.1434221,14.539569
312.30283084992783,-74.74082840471115,852.1519758639693,1.9467602,17.932604
641.7707885169873,251.72409069855198,1190.852210388769,1.4063148,17.786036
-2137.1968063011036,326.5110258406137,-756.172549862169,0.88396263,16.93441
-624.5210112598157,-1554.1829551173482,-3068.4260701486355,1.0231876,16.7105
-48.394841898013,-93.69358916133679,-251.3846551075921,3.146328,19.407051
886.1486234965738,-1795.142961790141,1644.223148610397,1.2802296,15.949603
427.29879251090387,-1022.0512032238072,-607.5412244669617,1.3165169,17.033691
-96.59823554787472,-2004.2153355539983,-198.22507433990316,1.8228474,17.430147
-263.9187311194797,433.18929547363797,-1190.6703233672174,1.1379147,16.075891
2093.56281037028,-4390.133414956213,-100.3041182201073,1.4207754,15.981036
-40.249080715610624,-132.34647728850123,78.55886197169957,3.233059,17.996292
-48.41446303351225,-2536.324964502601,-77.43448807144173,1.4953661,16.489088
971.4719515280038,-3644.5182085371257,-2206.9310491498604,1.32518,14.901006
-441.1099069225896,-1249.4733885970047,-1097.5649654006104,1.3043003,14.780159
258.78664503713634,-1086.8848884114277,597.709600699962,1.1541338,15.963554
592.4507981627809,-306.473911917175,449.35305410840095,2.376875,19.177668
83.0315410599309,10.648320833898081,-92.19838629560124,0.8671799,16.813663
35.85519248366948,-228.07791670581122,832.7459969013648,1.1195078,15.39018
-1506.056413222644,935.8307214599002,-2452.7800879738315,1.4319029,15.852614
